Hora,Vía,Cantidad de Vehículos
00:03,Via_CN_AS,14
00:03,Via_BS_DN,14
00:03,Via_DN_BS,0
00:03,Via_DO_CE,13
00:03,Via_CE_DO,10
00:04,Entrada_Norte_A,5
00:04,Salida_Norte_A,8
00:04,Entrada_Oeste_A,12
00:04,Salida_Oeste_A,16
00:04,Entrada_Norte_B,6
00:04,Salida_Norte_B,10
00:04,Entrada_Este_B,3
00:04,Salida_Este_B,12
00:04,Entrada_Oeste_C,5
00:04,Salida_Oeste_C,6
00:04,Entrada_Sur_C,10
00:04,Salida_Sur_C,14
00:04,Entrada_Sur_D,17
00:04,Salida_Sur_D,3
00:04,Entrada_Este_D,12
00:04,Salida_Este_D,9
00:04,Via_AE_BO,14
00:04,Via_BO_AE,18
00:04,Via_AS_CN,1
00:04,Via_CN_AS,18
00:04,Via_BS_DN,14
00:04,Via_DN_BS,5
00:04,Via_DO_CE,7
00:04,Via_CE_DO,1
00:05,Entrada_Norte_A,13
00:05,Salida_Norte_A,7
00:05,Entrada_Oeste_A,6
00:05,Salida_Oeste_A,13
00:05,Entrada_Norte_B,13
00:05,Salida_Norte_B,3
00:05,Entrada_Este_B,12
00:05,Salida_Este_B,4
00:05,Entrada_Oeste_C,12
00:05,Salida_Oeste_C,16
00:05,Entrada_Sur_C,1
00:05,Salida_Sur_C,2
00:05,Entrada_Sur_D,13
00:05,Salida_Sur_D,9
00:05,Entrada_Este_D,0
00:05,Salida_Este_D,13
00:05,Via_AE_BO,17
00:05,Via_BO_AE,12
00:05,Via_AS_CN,9
00:05,Via_CN_AS,14
00:05,Via_BS_DN,1
00:05,Via_DN_BS,3
00:05,Via_DO_CE,2
00:05,Via_CE_DO,12
00:06,Entrada_Norte_A,18
00:06,Salida_Norte_A,11
00:06,Entrada_Oeste_A,17
00:06,Salida_Oeste_A,15
00:06,Entrada_Norte_B,14
00:06,Salida_Norte_B,17
00:06,Entrada_Este_B,18
00:06,Salida_Este_B,15
00:06,Entrada_Oeste_C,0
00:06,Salida_Oeste_C,15
00:06,Entrada_Sur_C,10
00:06,Salida_Sur_C,5
00:06,Entrada_Sur_D,12
00:06,Salida_Sur_D,13
00:06,Entrada_Este_D,1
00:06,Salida_Este_D,2
00:06,Via_AE_BO,10
00:06,Via_BO_AE,16
00:06,Via_AS_CN,17
00:06,Via_CN_AS,8
00:06,Via_BS_DN,4
00:06,Via_DN_BS,17
00:06,Via_DO_CE,2
00:06,Via_CE_DO,17
00:07,Entrada_Norte_A,5
00:07,Salida_Norte_A,3
00:07,Entrada_Oeste_A,3
00:07,Salida_Oeste_A,6
00:07,Entrada_Norte_B,1
00:07,Salida_Norte_B,2
00:07,Entrada_Este_B,12
00:07,Salida_Este_B,16
00:07,Entrada_Oeste_C,5
00:07,Salida_Oeste_C,3
00:07,Entrada_Sur_C,17
00:07,Salida_Sur_C,8
00:07,Entrada_Sur_D,8
00:07,Salida_Sur_D,10
00:07,Entrada_Este_D,10
00:07,Salida_Este_D,7
00:07,Via_AE_BO,10
00:07,Via_BO_AE,18
00:07,Via_AS_CN,15
00:07,Via_CN_AS,17
00:07,Via_BS_DN,3
00:07,Via_DN_BS,16
00:07,Via_DO_CE,11
00:07,Via_CE_DO,1
00:08,Entrada_Norte_A,4
00:08,Salida_Norte_A,0
00:08,Entrada_Oeste_A,0
00:08,Salida_Oeste_A,13
00:08,Entrada_Norte_B,5
00:08,Salida_Norte_B,7
00:08,Entrada_Este_B,17
00:08,Salida_Este_B,13
00:08,Entrada_Oeste_C,12
00:08,Salida_Oeste_C,6
00:08,Entrada_Sur_C,15
00:08,Salida_Sur_C,10
00:08,Entrada_Sur_D,17
00:08,Salida_Sur_D,4
00:08,Entrada_Este_D,10
00:08,Salida_Este_D,15
00:08,Via_AE_BO,18
00:08,Via_BO_AE,17
00:08,Via_AS_CN,10
00:08,Via_CN_AS,14
00:08,Via_BS_DN,8
00:08,Via_DN_BS,10
00:08,Via_DO_CE,8
00:08,Via_CE_DO,1
00:09,Entrada_Norte_A,12
00:09,Salida_Norte_A,10
00:09,Entrada_Oeste_A,11
00:09,Salida_Oeste_A,15
00:09,Entrada_Norte_B,17
00:09,Salida_Norte_B,8
00:09,Entrada_Este_B,11
00:09,Salida_Este_B,15
00:09,Entrada_Oeste_C,3
00:09,Salida_Oeste_C,18
00:09,Entrada_Sur_C,5
00:09,Salida_Sur_C,11
00:09,Entrada_Sur_D,8
00:09,Salida_Sur_D,6
00:09,Entrada_Este_D,18
00:09,Salida_Este_D,4
00:09,Via_AE_BO,12
00:09,Via_BO_AE,17
00:09,Via_AS_CN,10
00:09,Via_CN_AS,4
00:09,Via_BS_DN,4
00:09,Via_DN_BS,14
00:09,Via_DO_CE,3
00:09,Via_CE_DO,8
00:10,Entrada_Norte_A,0
00:10,Salida_Norte_A,18
00:10,Entrada_Oeste_A,2
00:10,Salida_Oeste_A,6
00:10,Entrada_Norte_B,1
00:10,Salida_Norte_B,4
00:10,Entrada_Este_B,0
00:10,Salida_Este_B,8
00:10,Entrada_Oeste_C,18
00:10,Salida_Oeste_C,12
00:10,Entrada_Sur_C,12
00:10,Salida_Sur_C,13
00:10,Entrada_Sur_D,14
00:10,Salida_Sur_D,5
00:10,Entrada_Este_D,16
00:10,Salida_Este_D,11
00:10,Via_AE_BO,14
00:10,Via_BO_AE,0
00:10,Via_AS_CN,1
00:10,Via_CN_AS,2
00:10,Via_BS_DN,10
00:10,Via_DN_BS,0
00:10,Via_DO_CE,3
00:10,Via_CE_DO,14
00:11,Entrada_Norte_A,18
00:11,Salida_Norte_A,13
00:11,Entrada_Oeste_A,4
00:11,Salida_Oeste_A,9
00:11,Entrada_Norte_B,8
00:11,Salida_Norte_B,3
00:11,Entrada_Este_B,18
00:11,Salida_Este_B,13
00:11,Entrada_Oeste_C,0
00:11,Salida_Oeste_C,9
00:11,Entrada_Sur_C,11
00:11,Salida_Sur_C,2
00:11,Entrada_Sur_D,10
00:11,Salida_Sur_D,15
00:11,Entrada_Este_D,3
00:11,Salida_Este_D,11
00:11,Via_AE_BO,6
00:11,Via_BO_AE,6
00:11,Via_AS_CN,9
00:11,Via_CN_AS,4
00:11,Via_BS_DN,7
00:11,Via_DN_BS,17
00:11,Via_DO_CE,5
00:11,Via_CE_DO,16
00:12,Entrada_Norte_A,8
00:12,Salida_Norte_A,12
00:12,Entrada_Oeste_A,18
00:12,Salida_Oeste_A,10
00:12,Entrada_Norte_B,16
00:12,Salida_Norte_B,5
00:12,Entrada_Este_B,18
00:12,Salida_Este_B,3
00:12,Entrada_Oeste_C,13
00:12,Salida_Oeste_C,13
00:12,Entrada_Sur_C,8
00:12,Salida_Sur_C,17
00:12,Entrada_Sur_D,18
00:12,Salida_Sur_D,5
00:12,Entrada_Este_D,2
00:12,Salida_Este_D,16
00:12,Via_AE_BO,6
00:12,Via_BO_AE,12
00:12,Via_AS_CN,10
00:12,Via_CN_AS,11
00:12,Via_BS_DN,11
00:12,Via_DN_BS,1
00:12,Via_DO_CE,5
00:12,Via_CE_DO,16
00:13,Entrada_Norte_A,12
00:13,Salida_Norte_A,2
00:13,Entrada_Oeste_A,17
00:13,Salida_Oeste_A,16
00:13,Entrada_Norte_B,8
00:13,Salida_Norte_B,16
00:13,Entrada_Este_B,16
00:13,Salida_Este_B,10
00:13,Entrada_Oeste_C,7
00:13,Salida_Oeste_C,11
00:13,Entrada_Sur_C,0
00:13,Salida_Sur_C,15
00:13,Entrada_Sur_D,8
00:13,Salida_Sur_D,6
00:13,Entrada_Este_D,13
00:13,Salida_Este_D,5
00:13,Via_AE_BO,16
00:13,Via_BO_AE,13
00:13,Via_AS_CN,11
00:13,Via_CN_AS,18
00:13,Via_BS_DN,10
00:13,Via_DN_BS,9
00:13,Via_DO_CE,14
00:13,Via_CE_DO,10
00:14,Entrada_Norte_A,1
00:14,Salida_Norte_A,5
00:14,Entrada_Oeste_A,18
00:14,Salida_Oeste_A,3
00:14,Entrada_Norte_B,8
00:14,Salida_Norte_B,8
00:14,Entrada_Este_B,2
00:14,Salida_Este_B,11
00:14,Entrada_Oeste_C,12
00:14,Salida_Oeste_C,13
00:14,Entrada_Sur_C,3
00:14,Salida_Sur_C,18
00:14,Entrada_Sur_D,6
00:14,Salida_Sur_D,1
00:14,Entrada_Este_D,8
00:14,Salida_Este_D,11
00:14,Via_AE_BO,1
00:14,Via_BO_AE,13
00:14,Via_AS_CN,16
00:14,Via_CN_AS,8
00:14,Via_BS_DN,2
00:14,Via_DN_BS,17
00:14,Via_DO_CE,7
00:14,Via_CE_DO,8
00:15,Entrada_Norte_A,2
00:15,Salida_Norte_A,7
00:15,Entrada_Oeste_A,9
00:15,Salida_Oeste_A,18
00:15,Entrada_Norte_B,14
00:15,Salida_Norte_B,2
00:15,Entrada_Este_B,8
00:15,Salida_Este_B,9
00:15,Entrada_Oeste_C,9
00:15,Salida_Oeste_C,9
00:15,Entrada_Sur_C,1
00:15,Salida_Sur_C,4
00:15,Entrada_Sur_D,3
00:15,Salida_Sur_D,5
00:15,Entrada_Este_D,1
00:15,Salida_Este_D,17
00:15,Via_AE_BO,4
00:15,Via_BO_AE,8
00:15,Via_AS_CN,16
00:15,Via_CN_AS,9
00:15,Via_BS_DN,16
00:15,Via_DN_BS,15
00:15,Via_DO_CE,16
00:15,Via_CE_DO,16
00:16,Entrada_Norte_A,0
00:16,Salida_Norte_A,9
00:16,Entrada_Oeste_A,4
00:16,Salida_Oeste_A,13
00:16,Entrada_Norte_B,3
00:16,Salida_Norte_B,11
00:16,Entrada_Este_B,1
00:16,Salida_Este_B,6
00:16,Entrada_Oeste_C,11
00:16,Salida_Oeste_C,3
00:16,Entrada_Sur_C,12
00:16,Salida_Sur_C,7
00:16,Entrada_Sur_D,10
00:16,Salida_Sur_D,16
00:16,Entrada_Este_D,15
00:16,Salida_Este_D,1
00:16,Via_AE_BO,1
00:16,Via_BO_AE,12
00:16,Via_AS_CN,18
00:16,Via_CN_AS,7
00:16,Via_BS_DN,18
00:16,Via_DN_BS,0
00:16,Via_DO_CE,12
00:16,Via_CE_DO,2
00:17,Entrada_Norte_A,8
00:17,Salida_Norte_A,15
00:17,Entrada_Oeste_A,1
00:17,Salida_Oeste_A,0
00:17,Entrada_Norte_B,4
00:17,Salida_Norte_B,16
00:17,Entrada_Este_B,4
00:17,Salida_Este_B,5
00:17,Entrada_Oeste_C,5
00:17,Salida_Oeste_C,10
00:17,Entrada_Sur_C,11
00:17,Salida_Sur_C,0
00:17,Entrada_Sur_D,1
00:17,Salida_Sur_D,11
00:17,Entrada_Este_D,8
00:17,Salida_Este_D,8
00:17,Via_AE_BO,4
00:17,Via_BO_AE,5
00:17,Via_AS_CN,18
00:17,Via_CN_AS,9
00:17,Via_BS_DN,5
00:17,Via_DN_BS,11
00:17,Via_DO_CE,10
00:17,Via_CE_DO,5
00:18,Entrada_Norte_A,9
00:18,Salida_Norte_A,14
00:18,Entrada_Oeste_A,8
00:18,Salida_Oeste_A,1
00:18,Entrada_Norte_B,13
00:18,Salida_Norte_B,2
00:18,Entrada_Este_B,15
00:18,Salida_Este_B,13
00:18,Entrada_Oeste_C,12
00:18,Salida_Oeste_C,15
00:18,Entrada_Sur_C,18
00:18,Salida_Sur_C,15
00:18,Entrada_Sur_D,3
00:18,Salida_Sur_D,15
00:18,Entrada_Este_D,4
00:18,Salida_Este_D,0
00:18,Via_AE_BO,1
00:18,Via_BO_AE,6
00:18,Via_AS_CN,3
00:18,Via_CN_AS,1
00:18,Via_BS_DN,4
00:18,Via_DN_BS,14
00:18,Via_DO_CE,11
00:18,Via_CE_DO,1
00:19,Entrada_Norte_A,4
00:19,Salida_Norte_A,17
00:19,Entrada_Oeste_A,2
00:19,Salida_Oeste_A,3
00:19,Entrada_Norte_B,1
00:19,Salida_Norte_B,12
00:19,Entrada_Este_B,3
00:19,Salida_Este_B,8
00:19,Entrada_Oeste_C,7
00:19,Salida_Oeste_C,18
00:19,Entrada_Sur_C,13
00:19,Salida_Sur_C,17
00:19,Entrada_Sur_D,12
00:19,Salida_Sur_D,2
00:19,Entrada_Este_D,0
00:19,Salida_Este_D,17
00:19,Via_AE_BO,16
00:19,Via_BO_AE,2
00:19,Via_AS_CN,16
00:19,Via_CN_AS,13
00:19,Via_BS_DN,4
00:19,Via_DN_BS,16
00:19,Via_DO_CE,18
00:19,Via_CE_DO,15
00:20,Entrada_Norte_A,1
00:20,Salida_Norte_A,7
00:20,Entrada_Oeste_A,10
00:20,Salida_Oeste_A,6
00:20,Entrada_Norte_B,10
00:20,Salida_Norte_B,12
00:20,Entrada_Este_B,12
00:20,Salida_Este_B,11
00:20,Entrada_Oeste_C,4
00:20,Salida_Oeste_C,2
00:20,Entrada_Sur_C,6
00:20,Salida_Sur_C,4
00:20,Entrada_Sur_D,10
00:20,Salida_Sur_D,10
00:20,Entrada_Este_D,4
00:20,Salida_Este_D,6
00:20,Via_AE_BO,6
00:20,Via_BO_AE,5
00:20,Via_AS_CN,17
00:20,Via_CN_AS,6
00:20,Via_BS_DN,9
00:20,Via_DN_BS,4
00:20,Via_DO_CE,17
00:20,Via_CE_DO,6
00:21,Entrada_Norte_A,15
00:21,Salida_Norte_A,6
00:21,Entrada_Oeste_A,5
00:21,Salida_Oeste_A,4
00:21,Entrada_Norte_B,15
00:21,Salida_Norte_B,1
00:21,Entrada_Este_B,14
00:21,Salida_Este_B,10
00:21,Entrada_Oeste_C,16
00:21,Salida_Oeste_C,8
00:21,Entrada_Sur_C,17
00:21,Salida_Sur_C,3
00:21,Entrada_Sur_D,10
00:21,Salida_Sur_D,3
00:21,Entrada_Este_D,5
00:21,Salida_Este_D,2
00:21,Via_AE_BO,16
00:21,Via_BO_AE,12
00:21,Via_AS_CN,18
00:21,Via_CN_AS,5
00:21,Via_BS_DN,9
00:21,Via_DN_BS,12
00:21,Via_DO_CE,12
00:21,Via_CE_DO,6
00:22,Entrada_Norte_A,15
00:22,Salida_Norte_A,5
00:22,Entrada_Oeste_A,8
00:22,Salida_Oeste_A,0
00:22,Entrada_Norte_B,14
00:22,Salida_Norte_B,13
00:22,Entrada_Este_B,10
00:22,Salida_Este_B,0
00:22,Entrada_Oeste_C,1
00:22,Salida_Oeste_C,4
00:22,Entrada_Sur_C,2
00:22,Salida_Sur_C,2
00:22,Entrada_Sur_D,11
00:22,Salida_Sur_D,10
00:22,Entrada_Este_D,4
00:22,Salida_Este_D,18
00:22,Via_AE_BO,13
00:22,Via_BO_AE,0
00:22,Via_AS_CN,14
00:22,Via_CN_AS,18
00:22,Via_BS_DN,0
00:22,Via_DN_BS,0
00:22,Via_DO_CE,16
00:22,Via_CE_DO,4
00:23,Entrada_Norte_A,6
00:23,Salida_Norte_A,0
00:23,Entrada_Oeste_A,3
00:23,Salida_Oeste_A,6
00:23,Entrada_Norte_B,10
00:23,Salida_Norte_B,11
00:23,Entrada_Este_B,12
00:23,Salida_Este_B,8
00:23,Entrada_Oeste_C,1
00:23,Salida_Oeste_C,17
00:23,Entrada_Sur_C,3
00:23,Salida_Sur_C,14
00:23,Entrada_Sur_D,18
00:23,Salida_Sur_D,15
00:23,Entrada_Este_D,12
00:23,Salida_Este_D,7
00:23,Via_AE_BO,9
00:23,Via_BO_AE,7
00:23,Via_AS_CN,12
00:23,Via_CN_AS,13
00:23,Via_BS_DN,9
00:23,Via_DN_BS,3
00:23,Via_DO_CE,15
00:23,Via_CE_DO,2
00:24,Entrada_Norte_A,15
00:24,Salida_Norte_A,4
00:24,Entrada_Oeste_A,16
00:24,Salida_Oeste_A,9
00:24,Entrada_Norte_B,1
00:24,Salida_Norte_B,9
00:24,Entrada_Este_B,12
00:24,Salida_Este_B,9
00:24,Entrada_Oeste_C,12
00:24,Salida_Oeste_C,13
00:24,Entrada_Sur_C,12
00:24,Salida_Sur_C,15
00:24,Entrada_Sur_D,10
00:24,Salida_Sur_D,1
00:24,Entrada_Este_D,9
00:24,Salida_Este_D,4
00:24,Via_AE_BO,8
00:24,Via_BO_AE,6
00:24,Via_AS_CN,11
00:24,Via_CN_AS,2
00:24,Via_BS_DN,10
00:24,Via_DN_BS,3
00:24,Via_DO_CE,14
00:24,Via_CE_DO,13
00:25,Entrada_Norte_A,17
00:25,Salida_Norte_A,1
00:25,Entrada_Oeste_A,7
00:25,Salida_Oeste_A,18
00:25,Entrada_Norte_B,11
00:25,Salida_Norte_B,14
00:25,Entrada_Este_B,9
00:25,Salida_Este_B,15
00:25,Entrada_Oeste_C,11
00:25,Salida_Oeste_C,9
00:25,Entrada_Sur_C,2
00:25,Salida_Sur_C,3
00:25,Entrada_Sur_D,13
00:25,Salida_Sur_D,5
00:25,Entrada_Este_D,17
00:25,Salida_Este_D,8
00:25,Via_AE_BO,9
00:25,Via_BO_AE,11
00:25,Via_AS_CN,12
00:25,Via_CN_AS,7
00:25,Via_BS_DN,0
00:25,Via_DN_BS,4
00:25,Via_DO_CE,4
00:25,Via_CE_DO,11
00:26,Entrada_Norte_A,11
00:26,Salida_Norte_A,14
00:26,Entrada_Oeste_A,17
00:26,Salida_Oeste_A,14
00:26,Entrada_Norte_B,9
00:26,Salida_Norte_B,7
00:26,Entrada_Este_B,10
00:26,Salida_Este_B,16
00:26,Entrada_Oeste_C,13
00:26,Salida_Oeste_C,14
00:26,Entrada_Sur_C,0
00:26,Salida_Sur_C,13
00:26,Entrada_Sur_D,9
00:26,Salida_Sur_D,0
00:26,Entrada_Este_D,6
00:26,Salida_Este_D,16
00:26,Via_AE_BO,14
00:26,Via_BO_AE,4
00:26,Via_AS_CN,0
00:26,Via_CN_AS,7
00:26,Via_BS_DN,13
00:26,Via_DN_BS,7
00:26,Via_DO_CE,6
00:26,Via_CE_DO,5
00:27,Entrada_Norte_A,6
00:27,Salida_Norte_A,4
00:27,Entrada_Oeste_A,8
00:27,Salida_Oeste_A,7
00:27,Entrada_Norte_B,6
00:27,Salida_Norte_B,16
00:27,Entrada_Este_B,18
00:27,Salida_Este_B,5
00:27,Entrada_Oeste_C,1
00:27,Salida_Oeste_C,0
00:27,Entrada_Sur_C,3
00:27,Salida_Sur_C,7
00:27,Entrada_Sur_D,1
00:27,Salida_Sur_D,7
00:27,Entrada_Este_D,16
00:27,Salida_Este_D,8
00:27,Via_AE_BO,6
00:27,Via_BO_AE,16
00:27,Via_AS_CN,12
00:27,Via_CN_AS,5
00:27,Via_BS_DN,10
00:27,Via_DN_BS,4
00:27,Via_DO_CE,11
00:27,Via_CE_DO,1
00:28,Entrada_Norte_A,3
00:28,Salida_Norte_A,7
00:28,Entrada_Oeste_A,0
00:28,Salida_Oeste_A,1
00:28,Entrada_Norte_B,5
00:28,Salida_Norte_B,7
00:28,Entrada_Este_B,6
00:28,Salida_Este_B,3
00:28,Entrada_Oeste_C,8
00:28,Salida_Oeste_C,12
00:28,Entrada_Sur_C,1
00:28,Salida_Sur_C,15
00:28,Entrada_Sur_D,0
00:28,Salida_Sur_D,12
00:28,Entrada_Este_D,6
00:28,Salida_Este_D,17
00:28,Via_AE_BO,11
00:28,Via_BO_AE,0
00:28,Via_AS_CN,8
00:28,Via_CN_AS,7
00:28,Via_BS_DN,10
00:28,Via_DN_BS,9
00:28,Via_DO_CE,7
00:28,Via_CE_DO,6
00:29,Entrada_Norte_A,4
00:29,Salida_Norte_A,10
00:29,Entrada_Oeste_A,4
00:29,Salida_Oeste_A,14
00:29,Entrada_Norte_B,17
00:29,Salida_Norte_B,12
00:29,Entrada_Este_B,14
00:29,Salida_Este_B,15
00:29,Entrada_Oeste_C,10
00:29,Salida_Oeste_C,10
00:29,Entrada_Sur_C,5
00:29,Salida_Sur_C,11
00:29,Entrada_Sur_D,12
00:29,Salida_Sur_D,2
00:29,Entrada_Este_D,17
00:29,Salida_Este_D,4
00:29,Via_AE_BO,18
00:29,Via_BO_AE,13
00:29,Via_AS_CN,12
00:29,Via_CN_AS,4
00:29,Via_BS_DN,7
00:29,Via_DN_BS,8
00:29,Via_DO_CE,12
00:29,Via_CE_DO,11
00:30,Entrada_Norte_A,12
00:30,Salida_Norte_A,5
00:30,Entrada_Oeste_A,15
00:30,Salida_Oeste_A,0
00:30,Entrada_Norte_B,7
00:30,Salida_Norte_B,1
00:30,Entrada_Este_B,12
00:30,Salida_Este_B,15
00:30,Entrada_Oeste_C,18
00:30,Salida_Oeste_C,9
00:30,Entrada_Sur_C,14
00:30,Salida_Sur_C,8
00:30,Entrada_Sur_D,11
00:30,Salida_Sur_D,5
00:30,Entrada_Este_D,15
00:30,Salida_Este_D,11
00:30,Via_AE_BO,18
00:30,Via_BO_AE,17
00:30,Via_AS_CN,8
00:30,Via_CN_AS,1
00:30,Via_BS_DN,2
00:30,Via_DN_BS,7
00:30,Via_DO_CE,11
00:30,Via_CE_DO,16
00:31,Entrada_Norte_A,0
00:31,Salida_Norte_A,5
00:31,Entrada_Oeste_A,2
00:31,Salida_Oeste_A,17
00:31,Entrada_Norte_B,17
00:31,Salida_Norte_B,8
00:31,Entrada_Este_B,2
00:31,Salida_Este_B,1
00:31,Entrada_Oeste_C,0
00:31,Salida_Oeste_C,12
00:31,Entrada_Sur_C,13
00:31,Salida_Sur_C,15
00:31,Entrada_Sur_D,15
00:31,Salida_Sur_D,4
00:31,Entrada_Este_D,18
00:31,Salida_Este_D,5
00:31,Via_AE_BO,9
00:31,Via_BO_AE,6
00:31,Via_AS_CN,4
00:31,Via_CN_AS,11
00:31,Via_BS_DN,15
00:31,Via_DN_BS,17
00:31,Via_DO_CE,4
00:31,Via_CE_DO,7
00:32,Entrada_Norte_A,3
00:32,Salida_Norte_A,15
00:32,Entrada_Oeste_A,15
00:32,Salida_Oeste_A,3
00:32,Entrada_Norte_B,5
00:32,Salida_Norte_B,18
00:32,Entrada_Este_B,11
00:32,Salida_Este_B,11
00:32,Entrada_Oeste_C,14
00:32,Salida_Oeste_C,3
00:32,Entrada_Sur_C,18
00:32,Salida_Sur_C,7
00:32,Entrada_Sur_D,10
00:32,Salida_Sur_D,0
00:32,Entrada_Este_D,6
00:32,Salida_Este_D,9
00:32,Via_AE_BO,7
00:32,Via_BO_AE,8
00:32,Via_AS_CN,18
00:32,Via_CN_AS,3
00:32,Via_BS_DN,0
00:32,Via_DN_BS,13
00:32,Via_DO_CE,7
00:32,Via_CE_DO,3
00:33,Entrada_Norte_A,11
00:33,Salida_Norte_A,5
00:33,Entrada_Oeste_A,11
00:33,Salida_Oeste_A,10
00:33,Entrada_Norte_B,9
00:33,Salida_Norte_B,12
00:33,Entrada_Este_B,11
00:33,Salida_Este_B,2
00:33,Entrada_Oeste_C,2
00:33,Salida_Oeste_C,0
00:33,Entrada_Sur_C,12
00:33,Salida_Sur_C,3
00:33,Entrada_Sur_D,4
00:33,Salida_Sur_D,15
00:33,Entrada_Este_D,2
00:33,Salida_Este_D,16
00:33,Via_AE_BO,0
00:33,Via_BO_AE,18
00:33,Via_AS_CN,15
00:33,Via_CN_AS,11
00:33,Via_BS_DN,4
00:33,Via_DN_BS,9
00:33,Via_DO_CE,12
00:33,Via_CE_DO,0
00:34,Entrada_Norte_A,0
00:34,Salida_Norte_A,3
00:34,Entrada_Oeste_A,1
00:34,Salida_Oeste_A,17
00:34,Entrada_Norte_B,18
00:34,Salida_Norte_B,7
00:34,Entrada_Este_B,2
00:34,Salida_Este_B,2
00:34,Entrada_Oeste_C,18
00:34,Salida_Oeste_C,4
00:34,Entrada_Sur_C,17
00:34,Salida_Sur_C,18
00:34,Entrada_Sur_D,5
00:34,Salida_Sur_D,16
00:34,Entrada_Este_D,15
00:34,Salida_Este_D,0
00:34,Via_AE_BO,16
00:34,Via_BO_AE,15
00:34,Via_AS_CN,12
00:34,Via_CN_AS,4
00:34,Via_BS_DN,16
00:34,Via_DN_BS,7
00:34,Via_DO_CE,11
00:34,Via_CE_DO,2
00:35,Entrada_Norte_A,13
00:35,Salida_Norte_A,11
00:35,Entrada_Oeste_A,14
00:35,Salida_Oeste_A,3
00:35,Entrada_Norte_B,16
00:35,Salida_Norte_B,10
00:35,Entrada_Este_B,8
00:35,Salida_Este_B,13
00:35,Entrada_Oeste_C,17
00:35,Salida_Oeste_C,13
00:35,Entrada_Sur_C,6
00:35,Salida_Sur_C,2
00:35,Entrada_Sur_D,1
00:35,Salida_Sur_D,6
00:35,Entrada_Este_D,13
00:35,Salida_Este_D,8
00:35,Via_AE_BO,17
00:35,Via_BO_AE,5
00:35,Via_AS_CN,8
00:35,Via_CN_AS,10
00:35,Via_BS_DN,2
00:35,Via_DN_BS,14
00:35,Via_DO_CE,14
00:35,Via_CE_DO,10
00:36,Entrada_Norte_A,2
00:36,Salida_Norte_A,2
00:36,Entrada_Oeste_A,16
00:36,Salida_Oeste_A,2
00:36,Entrada_Norte_B,8
00:36,Salida_Norte_B,6
00:36,Entrada_Este_B,17
00:36,Salida_Este_B,15
